n,theta_decimal,rho_decimal,bin,strand,slip,jump,next_bin,reference_x_numeric,approximate_x_numeric,approximate_bin_numeric,phase_error_numeric,ideal_bin_certified,numeric_bin_agrees
131,0.0375474737637748851991247,0.4643514767872205227658632,1,1,0,15,16,0.03754747376377489,0.0375474737637711,1,3.774758283725532e-15,true,true
132,0.4195134850138800369945379,0.3610259155413214427869767,16,1,0,15,31,0.41951348501388,0.41951348501387625,16,3.774758283725532e-15,true,true
133,0.8014794962639851887899510,0.2577003542954223628080901,31,1,0,15,7,0.8014794962639852,0.8014794962639814,31,3.774758283725532e-15,true,true
134,0.1834455075140903405853642,0.1543747930495232828292036,7,1,0,15,22,0.18344550751409033,0.18344550751408661,7,3.7192471324942744e-15,true,true
135,0.5654115187641954923807774,0.0510492318036242028503171,22,1,1,14,36,0.5654115187641955,0.5654115187641917,22,3.774758283725532e-15,true,true
136,0.9473775300143006441761905,0.9477236705577251228714305,36,0,0,15,12,0.9473775300143007,0.9473775300142968,36,3.885780586188048e-15,true,true
137,0.3293435412644057959716037,0.8443981093118260428925440,12,0,0,15,27,0.3293435412644058,0.3293435412644019,12,3.885780586188048e-15,true,true
138,0.7113095525145109477670169,0.7410725480659269629136574,27,0,0,15,3,0.711309552514511,0.711309552514507,27,3.9968028886505635e-15,true,true
139,0.0932755637646160995624300,0.6377469868200278829347709,3,0,0,15,18,0.0932755637646161,0.0932755637646121,3,3.9968028886505635e-15,true,true
140,0.4752415750147212513578432,0.5344214255741288029558844,18,0,0,15,33,0.47524157501472125,0.47524157501471725,18,3.9968028886505635e-15,true,true
141,0.8572075862648264031532564,0.4310958643282297229769978,33,0,0,15,9,0.8572075862648264,0.8572075862648224,33,3.9968028886505635e-15,true,true
142,0.2391735975149315549486695,0.3277703030823306429981113,9,0,0,15,24,0.23917359751493156,0.23917359751492762,9,3.941291737419306e-15,true,true
143,0.6211396087650367067440827,0.2244447418364315630192247,24,0,0,15,0,0.6211396087650367,0.6211396087650327,24,3.9968028886505635e-15,true,true
144,0.0031056200151418585394959,0.1211191805905324830403382,0,0,0,15,15,0.0031056200151418586,0.003105620015137811,0,4.052314039881821e-15,true,true
145,0.3850716312652470103349090,0.0177936193446334030614517,15,0,1,14,29,0.385071631265247,0.38507163126524296,15,4.052314039881821e-15,true,true
146,0.7670376425153521621303222,0.9144680580987343230825651,29,2,0,15,5,0.7670376425153521,0.7670376425153481,29,3.9968028886505635e-15,true,true
147,0.1490036537654573139257353,0.8111424968528352431036786,5,2,0,15,20,0.14900365376545732,0.14900365376545333,5,3.9968028886505635e-15,true,true
148,0.5309696650155624657211485,0.7078169356069361631247920,20,2,0,15,35,0.5309696650155624,0.5309696650155584,20,3.9968028886505635e-15,true,true
149,0.9129356762656676175165617,0.6044913743610370831459055,35,2,0,15,11,0.9129356762656676,0.9129356762656635,35,4.107825191113079e-15,true,true
150,0.2949016875157727693119748,0.5011658131151380031670190,11,2,0,15,26,0.2949016875157728,0.2949016875157686,11,4.163336342344337e-15,true,true
151,0.6768676987658779211073880,0.3978402518692389231881324,26,2,0,15,2,0.6768676987658779,0.6768676987658737,26,4.218847493575595e-15,true,true
152,0.0588337100159830729028012,0.2945146906233398432092459,2,2,0,15,17,0.05883371001598307,0.05883371001597881,2,4.274358644806853e-15,true,true
153,0.4407997212660882246982143,0.1911891293774407632303593,17,2,0,15,32,0.44079972126608824,0.44079972126608397,17,4.274358644806853e-15,true,true
154,0.8227657325161933764936275,0.0878635681315416832514728,32,2,1,14,7,0.8227657325161933,0.8227657325161891,32,4.218847493575595e-15,true,true
155,0.2047317437662985282890407,0.9845380068856426032725863,7,1,0,15,22,0.20473174376629852,0.20473174376629433,7,4.218847493575595e-15,true,true
156,0.5866977550164036800844538,0.8812124456397435232936997,22,1,0,15,37,0.5866977550164036,0.5866977550163994,22,4.218847493575595e-15,true,true
157,0.9686637662665088318798670,0.7778868843938444433148132,37,1,0,15,13,0.9686637662665089,0.9686637662665045,37,4.3298697960381105e-15,true,true
158,0.3506297775166139836752802,0.6745613231479453633359266,13,1,0,15,28,0.350629777516614,0.3506297775166096,13,4.385380947269368e-15,true,true
159,0.7325957887667191354706933,0.5712357619020462833570401,28,1,0,15,4,0.7325957887667192,0.7325957887667147,28,4.440892098500626e-15,true,true
